goog_date,goog_month,goog_year,goog_isoweek,goog_isodow,goog_isoyear,goog_channel_group,goog_product_group,goog_sub_channel,goog_advertiser,goog_cost,goog_impressions,goog_clicks,goog_video_views,goog_video_completes
2017-01-06,1,2017,1,4,2017,Shopping,Pillow,SN,Tempur-Pedic,525.61,27472,206,0,0.0
2017-01-07,1,2017,1,5,2017,Branded Search,Mattress,SN,Tempur-Pedic,13096.240000000005,34690,4712,0,0.0
2017-01-07,1,2017,1,5,2017,Competitor,Mattress,SN,Tempur-Pedic,209.67,1865,11,0,0.0
2017-01-07,1,2017,1,5,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,48.52,13772,45,0,0.0
2017-01-07,1,2017,1,5,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,205.98,2277,27,0,0.0
2017-01-07,1,2017,1,5,2017,Non-Branded Search,Mattress,SN,Tempur-Pedic,1577.6199999999997,5800,167,0,0.0
2017-01-07,1,2017,1,5,2017,Non-Branded Search,Other,SN,Tempur-Pedic,2068.77,21142,726,0,0.0
2017-01-07,1,2017,1,5,2017,Non-Branded Search,Pillow,SN,Tempur-Pedic,308.05,2853,78,0,0.0
2017-01-07,1,2017,1,5,2017,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,3797.260000000001,18199,475,0,0.0
2017-01-07,1,2017,1,5,2017,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,438.17999999999984,5643,126,0,0.0
2017-01-07,1,2017,1,5,2017,Remarketing,Mattress,DN,Tempur-Pedic,451.19999999999993,159984,180,0,0.0
2017-01-07,1,2017,1,5,2017,Remarketing,Other,DN,Tempur-Pedic,205.48999999999998,59388,146,0,0.0
2017-01-07,1,2017,1,5,2017,Remarketing,Pillow,DN,Tempur-Pedic,149.47,60256,65,0,0.0
2017-01-07,1,2017,1,5,2017,Shopping,Mattress,SN,Tempur-Pedic,572.23,17722,157,0,0.0
2017-01-07,1,2017,1,5,2017,Shopping,Other,SN,Tempur-Pedic,356.27,12284,124,0,0.0
2017-01-07,1,2017,1,5,2017,Shopping,Pillow,SN,Tempur-Pedic,514.3499999999999,40340,253,0,0.0
2017-01-08,1,2017,1,6,2017,Branded Search,Mattress,SN,Tempur-Pedic,13300.609999999993,36468,4684,0,0.0
2017-01-08,1,2017,1,6,2017,Competitor,Mattress,SN,Tempur-Pedic,236.61,1244,13,0,0.0
2017-01-08,1,2017,1,6,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,51.61,13232,44,0,0.0
2017-01-08,1,2017,1,6,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,198.69,1616,27,0,0.0
2017-01-08,1,2017,1,6,2017,Non-Branded Search,Mattress,SN,Tempur-Pedic,1591.5300000000002,5290,166,0,0.0
2017-01-08,1,2017,1,6,2017,Non-Branded Search,Other,SN,Tempur-Pedic,2076.6000000000004,21723,765,0,0.0
2017-01-08,1,2017,1,6,2017,Non-Branded Search,Pillow,SN,Tempur-Pedic,315.4800000000001,2712,75,0,0.0
2017-01-08,1,2017,1,6,2017,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,3834.340000000001,16483,452,0,0.0
2017-01-08,1,2017,1,6,2017,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,437.09,5578,130,0,0.0
2017-01-08,1,2017,1,6,2017,Remarketing,Mattress,DN,Tempur-Pedic,485.45,165527,198,0,0.0
2017-01-08,1,2017,1,6,2017,Remarketing,Other,DN,Tempur-Pedic,195.92999999999998,55312,139,0,0.0
2017-01-08,1,2017,1,6,2017,Remarketing,Pillow,DN,Tempur-Pedic,163.65999999999997,77832,90,0,0.0
2017-01-08,1,2017,1,6,2017,Shopping,Mattress,SN,Tempur-Pedic,583.38,19463,196,0,0.0
2017-01-08,1,2017,1,6,2017,Shopping,Other,SN,Tempur-Pedic,362.28,10573,121,0,0.0
2017-01-08,1,2017,1,6,2017,Shopping,Pillow,SN,Tempur-Pedic,524.16,24664,228,0,0.0
2017-01-09,1,2017,1,7,2017,Branded Search,Mattress,SN,Tempur-Pedic,10858.130000000001,32138,3772,0,0.0
2017-01-09,1,2017,1,7,2017,Competitor,Mattress,SN,Tempur-Pedic,214.15,4906,11,0,0.0
2017-01-09,1,2017,1,7,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,50.99,20271,45,0,0.0
2017-01-09,1,2017,1,7,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,203.18,3522,28,0,0.0
2017-01-09,1,2017,1,7,2017,Non-Branded Search,Mattress,SN,Tempur-Pedic,1617.92,6731,164,0,0.0
2017-01-09,1,2017,1,7,2017,Non-Branded Search,Other,SN,Tempur-Pedic,1968.570000000001,21742,689,0,0.0
2017-01-09,1,2017,1,7,2017,Non-Branded Search,Pillow,SN,Tempur-Pedic,310.8,3019,73,0,0.0
2017-01-09,1,2017,1,7,2017,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,3576.4200000000005,16552,419,0,0.0
2017-01-09,1,2017,1,7,2017,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,431.95,4775,123,0,0.0
2017-01-09,1,2017,1,7,2017,Remarketing,Mattress,DN,Tempur-Pedic,469.47,178119,181,0,0.0
2017-01-09,1,2017,1,7,2017,Remarketing,Other,DN,Tempur-Pedic,185.2,73076,132,0,0.0
2017-01-09,1,2017,1,7,2017,Remarketing,Pillow,DN,Tempur-Pedic,164.81,113826,123,0,0.0
2017-01-09,1,2017,1,7,2017,Shopping,Mattress,SN,Tempur-Pedic,588.0299999999999,21574,186,0,0.0
2017-01-09,1,2017,1,7,2017,Shopping,Other,SN,Tempur-Pedic,379.47,10705,125,0,0.0
2017-01-09,1,2017,1,7,2017,Shopping,Pillow,SN,Tempur-Pedic,529.24,24485,202,0,0.0
2017-01-10,1,2017,2,1,2017,Branded Search,Mattress,SN,Tempur-Pedic,10407.340000000002,28682,3433,0,0.0
2017-01-10,1,2017,2,1,2017,Competitor,Mattress,SN,Tempur-Pedic,209.48999999999998,1954,12,0,0.0
2017-01-10,1,2017,2,1,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,45.57,18696,36,0,0.0
2017-01-10,1,2017,2,1,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,198.86,2284,29,0,0.0
2017-01-10,1,2017,2,1,2017,Non-Branded Search,Mattress,SN,Tempur-Pedic,1446.5600000000004,8897,184,0,0.0
2017-01-10,1,2017,2,1,2017,Non-Branded Search,Other,SN,Tempur-Pedic,1844.4699999999993,22707,674,0,0.0
2017-01-10,1,2017,2,1,2017,Non-Branded Search,Pillow,SN,Tempur-Pedic,307.27000000000004,2299,54,0,0.0
2017-01-10,1,2017,2,1,2017,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,2837.0599999999995,15992,388,0,0.0
2017-01-10,1,2017,2,1,2017,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,438.1700000000001,4630,142,0,0.0
2017-01-10,1,2017,2,1,2017,Remarketing,Mattress,DN,Tempur-Pedic,426.91999999999985,140227,154,0,0.0
2017-01-10,1,2017,2,1,2017,Remarketing,Other,DN,Tempur-Pedic,180.37,72786,126,0,0.0
2017-01-10,1,2017,2,1,2017,Remarketing,Pillow,DN,Tempur-Pedic,166.53,82345,109,0,0.0
2017-01-10,1,2017,2,1,2017,Shopping,Mattress,SN,Tempur-Pedic,577.2,19482,181,0,0.0
2017-01-10,1,2017,2,1,2017,Shopping,Other,SN,Tempur-Pedic,359.37,11793,106,0,0.0
2017-01-10,1,2017,2,1,2017,Shopping,Pillow,SN,Tempur-Pedic,517.65,19014,210,0,0.0
2017-01-11,1,2017,2,2,2017,Branded Search,Mattress,SN,Tempur-Pedic,10709.97,28538,3426,0,0.0
2017-01-11,1,2017,2,2,2017,Competitor,Mattress,SN,Tempur-Pedic,204.43,2090,11,0,0.0
2017-01-11,1,2017,2,2,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,85.67,42113,86,0,0.0
2017-01-11,1,2017,2,2,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,202.6,3625,31,0,0.0
2017-01-11,1,2017,2,2,2017,Non-Branded Search,Mattress,SN,Tempur-Pedic,1446.56,11563,186,0,0.0
2017-01-11,1,2017,2,2,2017,Non-Branded Search,Other,SN,Tempur-Pedic,1702.480000000001,24685,687,0,0.0
2017-01-11,1,2017,2,2,2017,Non-Branded Search,Pillow,SN,Tempur-Pedic,308.84000000000003,2898,74,0,0.0
2017-01-11,1,2017,2,2,2017,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,2960.62,19398,433,0,0.0
2017-01-11,1,2017,2,2,2017,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,430.5100000000001,6067,134,0,0.0
2017-01-11,1,2017,2,2,2017,Remarketing,Mattress,DN,Tempur-Pedic,463.74999999999983,169583,172,0,0.0
2017-01-11,1,2017,2,2,2017,Remarketing,Other,DN,Tempur-Pedic,191.23000000000002,59413,123,0,0.0
2017-01-11,1,2017,2,2,2017,Remarketing,Pillow,DN,Tempur-Pedic,153.98,77243,86,0,0.0
2017-01-11,1,2017,2,2,2017,Shopping,Mattress,SN,Tempur-Pedic,582.45,24005,203,0,0.0
2017-01-11,1,2017,2,2,2017,Shopping,Other,SN,Tempur-Pedic,363.52,11644,117,0,0.0
2017-01-11,1,2017,2,2,2017,Shopping,Pillow,SN,Tempur-Pedic,524.15,22639,202,0,0.0
2017-01-12,1,2017,2,3,2017,Branded Search,Mattress,SN,Tempur-Pedic,10528.759999999998,27381,3421,0,0.0
2017-01-12,1,2017,2,3,2017,Competitor,Mattress,SN,Tempur-Pedic,204.65000000000003,2360,13,0,0.0
2017-01-12,1,2017,2,3,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,105.61,52006,124,0,0.0
2017-01-12,1,2017,2,3,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,197.74,3594,29,0,0.0
2017-01-12,1,2017,2,3,2017,Remarketing,Mattress,DN,Tempur-Pedic,457.79000000000013,191670,196,0,0.0
2017-01-12,1,2017,2,3,2017,Remarketing,Other,DN,Tempur-Pedic,182.99,65805,129,0,0.0
2017-01-12,1,2017,2,3,2017,Remarketing,Pillow,DN,Tempur-Pedic,160.55999999999997,89451,100,0,0.0
2017-01-12,1,2017,2,3,2017,Shopping,Mattress,SN,Tempur-Pedic,575.4399999999999,16890,161,0,0.0
2017-01-12,1,2017,2,3,2017,Shopping,Other,SN,Tempur-Pedic,356.74,9223,107,0,0.0
2017-01-12,1,2017,2,3,2017,Shopping,Pillow,SN,Tempur-Pedic,519.25,19722,193,0,0.0
2017-01-13,1,2017,2,4,2017,Branded Search,Mattress,SN,Tempur-Pedic,11581.520000000002,27797,3502,0,0.0
2017-01-13,1,2017,2,4,2017,Competitor,Mattress,SN,Tempur-Pedic,213.48000000000002,1388,10,0,0.0
2017-01-13,1,2017,2,4,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,108.36,48876,111,0,0.0
2017-01-13,1,2017,2,4,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,196.89000000000001,3348,29,0,0.0
2017-01-13,1,2017,2,4,2017,Remarketing,Mattress,DN,Tempur-Pedic,432.62999999999994,197361,188,0,0.0
2017-01-13,1,2017,2,4,2017,Remarketing,Other,DN,Tempur-Pedic,178.28,56962,113,0,0.0
2017-01-13,1,2017,2,4,2017,Remarketing,Pillow,DN,Tempur-Pedic,155.61000000000004,88723,84,0,0.0
2017-01-13,1,2017,2,4,2017,Shopping,Mattress,SN,Tempur-Pedic,575.8100000000001,16201,173,0,0.0
2017-01-13,1,2017,2,4,2017,Shopping,Other,SN,Tempur-Pedic,353.66,9330,113,0,0.0
2017-01-13,1,2017,2,4,2017,Shopping,Pillow,SN,Tempur-Pedic,514.64,19961,188,0,0.0
2017-01-14,1,2017,2,5,2017,Branded Search,Mattress,SN,Tempur-Pedic,14314.449999999999,31744,4317,0,0.0
2017-01-14,1,2017,2,5,2017,Competitor,Mattress,SN,Tempur-Pedic,209.38000000000002,1880,10,0,0.0
2017-01-14,1,2017,2,5,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,87.64,54870,136,0,0.0
2017-01-14,1,2017,2,5,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,196.35,1948,34,0,0.0
2017-01-14,1,2017,2,5,2017,Non-Branded Search,Mattress,SN,Tempur-Pedic,1573.13,11159,210,0,0.0
2017-01-14,1,2017,2,5,2017,Non-Branded Search,Other,SN,Tempur-Pedic,1854.5399999999995,31021,819,0,0.0
2017-01-14,1,2017,2,5,2017,Non-Branded Search,Pillow,SN,Tempur-Pedic,300.59000000000003,3120,71,0,0.0
2017-01-14,1,2017,2,5,2017,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,2845.65,23770,479,0,0.0
2017-01-14,1,2017,2,5,2017,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,417.71000000000004,5348,142,0,0.0
2017-01-14,1,2017,2,5,2017,Remarketing,Mattress,DN,Tempur-Pedic,480.61,173231,225,0,0.0
2017-01-14,1,2017,2,5,2017,Remarketing,Other,DN,Tempur-Pedic,199.06999999999996,58421,136,0,0.0
2017-01-14,1,2017,2,5,2017,Remarketing,Pillow,DN,Tempur-Pedic,173.95,84068,84,0,0.0
2017-01-14,1,2017,2,5,2017,Shopping,Mattress,SN,Tempur-Pedic,584.27,15344,166,0,0.0
2017-01-14,1,2017,2,5,2017,Shopping,Other,SN,Tempur-Pedic,353.83,9087,115,0,0.0
2017-01-14,1,2017,2,5,2017,Shopping,Pillow,SN,Tempur-Pedic,512.74,24511,231,0,0.0
2017-01-15,1,2017,2,6,2017,Branded Search,Mattress,SN,Tempur-Pedic,14890.49,35760,4715,0,0.0
2017-01-15,1,2017,2,6,2017,Competitor,Mattress,SN,Tempur-Pedic,228.0,1681,11,0,0.0
2017-01-15,1,2017,2,6,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,218.05,138058,345,0,0.0
2017-01-15,1,2017,2,6,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,193.36,2127,30,0,0.0
2017-01-15,1,2017,2,6,2017,Non-Branded Search,Mattress,SN,Tempur-Pedic,1553.4599999999996,11226,213,0,0.0
2017-01-15,1,2017,2,6,2017,Non-Branded Search,Other,SN,Tempur-Pedic,1846.3900000000003,29729,817,0,0.0
2017-01-15,1,2017,2,6,2017,Non-Branded Search,Pillow,SN,Tempur-Pedic,284.24,3342,72,0,0.0
2017-01-15,1,2017,2,6,2017,Non-Branded Search Tier 1,Mattress,SN,Tempur-Pedic,3121.1300000000006,23038,485,0,0.0
2017-01-15,1,2017,2,6,2017,Non-Branded Search Tier 1,Pillow,SN,Tempur-Pedic,428.95000000000005,6499,154,0,0.0
2017-01-15,1,2017,2,6,2017,Remarketing,Mattress,DN,Tempur-Pedic,473.46000000000004,117640,177,0,0.0
2017-01-15,1,2017,2,6,2017,Remarketing,Other,DN,Tempur-Pedic,186.04,58624,139,0,0.0
