bing_date,bing_month,bing_year,bing_isoweek,bing_isodow,bing_isoyear,bing_channel_group,bing_product_group,bing_sub_channel,bing_advertiser,bing_cost,bing_impressions,bing_clicks,bing_video_views,bing_video_completes
2017-01-10,1,2017,2,1,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,166.52999999999997,82345,109,0,0.0
2017-01-10,1,2017,2,1,2017,Shopping,Mattress,SN,Tempur-Pedic,577.2,19482,181,0,0.0
2017-01-10,1,2017,2,1,2017,Shopping,Other,SN,Tempur-Pedic,359.37,11793,106,0,0.0
2017-01-10,1,2017,2,1,2017,Shopping,Pillow,SN,Tempur-Pedic,517.65,19014,210,0,0.0
2017-01-11,1,2017,2,2,2017,Branded Search,Mattress,SN,Tempur-Pedic,15117.14999999999,59499,4045,0,0.0
2017-01-11,1,2017,2,2,2017,Branded Search,Other,SN,Tempur-Pedic,1702.4800000000005,24685,687,0,0.0
2017-01-11,1,2017,2,2,2017,Branded Search,Pillow,SN,Tempur-Pedic,739.3500000000003,8965,208,0,0.0
2017-01-11,1,2017,2,2,2017,Competitor Search,Mattress,SN,Tempur-Pedic,407.03,5715,42,0,0.0
2017-01-11,1,2017,2,2,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,549.4199999999998,211696,258,0,0.0
2017-01-11,1,2017,2,2,2017,Display Remarketing,Other,DN,Tempur-Pedic,191.23000000000005,59413,123,0,0.0
2017-01-11,1,2017,2,2,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,153.98,77243,86,0,0.0
2017-01-11,1,2017,2,2,2017,Shopping,Mattress,SN,Tempur-Pedic,582.45,24005,203,0,0.0
2017-01-11,1,2017,2,2,2017,Shopping,Other,SN,Tempur-Pedic,363.52,11644,117,0,0.0
2017-01-11,1,2017,2,2,2017,Shopping,Pillow,SN,Tempur-Pedic,524.15,22639,202,0,0.0
2017-01-12,1,2017,2,3,2017,Branded Search,Mattress,SN,Tempur-Pedic,10528.76,27381,3421,0,0.0
2017-01-12,1,2017,2,3,2017,Competitor Search,Mattress,SN,Tempur-Pedic,402.39,5954,42,0,0.0
2017-01-12,1,2017,2,3,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,563.4000000000001,243676,320,0,0.0
2017-01-12,1,2017,2,3,2017,Display Remarketing,Other,DN,Tempur-Pedic,182.99,65805,129,0,0.0
2017-01-12,1,2017,2,3,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,160.56,89451,100,0,0.0
2017-01-12,1,2017,2,3,2017,Shopping,Mattress,SN,Tempur-Pedic,575.4399999999999,16890,161,0,0.0
2017-01-12,1,2017,2,3,2017,Shopping,Other,SN,Tempur-Pedic,356.74,9223,107,0,0.0
2017-01-12,1,2017,2,3,2017,Shopping,Pillow,SN,Tempur-Pedic,519.25,19722,193,0,0.0
2017-01-13,1,2017,2,4,2017,Branded Search,Mattress,SN,Tempur-Pedic,11581.520000000002,27797,3502,0,0.0
2017-01-13,1,2017,2,4,2017,Competitor Search,Mattress,SN,Tempur-Pedic,410.37000000000006,4736,39,0,0.0
2017-01-13,1,2017,2,4,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,540.9900000000001,246237,299,0,0.0
2017-01-13,1,2017,2,4,2017,Display Remarketing,Other,DN,Tempur-Pedic,178.27999999999997,56962,113,0,0.0
2017-01-13,1,2017,2,4,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,155.61000000000004,88723,84,0,0.0
2017-01-13,1,2017,2,4,2017,Shopping,Mattress,SN,Tempur-Pedic,575.8100000000001,16201,173,0,0.0
2017-01-13,1,2017,2,4,2017,Shopping,Other,SN,Tempur-Pedic,353.66,9330,113,0,0.0
2017-01-13,1,2017,2,4,2017,Shopping,Pillow,SN,Tempur-Pedic,514.64,19961,188,0,0.0
2017-01-14,1,2017,2,5,2017,Branded Search,Mattress,SN,Tempur-Pedic,18733.229999999985,66673,5006,0,0.0
2017-01-14,1,2017,2,5,2017,Branded Search,Other,SN,Tempur-Pedic,1854.539999999999,31021,819,0,0.0
2017-01-14,1,2017,2,5,2017,Branded Search,Pillow,SN,Tempur-Pedic,718.3,8468,213,0,0.0
2017-01-14,1,2017,2,5,2017,Competitor Search,Mattress,SN,Tempur-Pedic,405.73,3828,44,0,0.0
2017-01-14,1,2017,2,5,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,568.2500000000001,228101,361,0,0.0
2017-01-14,1,2017,2,5,2017,Display Remarketing,Other,DN,Tempur-Pedic,199.06999999999996,58421,136,0,0.0
2017-01-14,1,2017,2,5,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,173.94999999999996,84068,84,0,0.0
2017-01-14,1,2017,2,5,2017,Shopping,Mattress,SN,Tempur-Pedic,584.27,15344,166,0,0.0
2017-01-14,1,2017,2,5,2017,Shopping,Other,SN,Tempur-Pedic,353.83,9087,115,0,0.0
2017-01-14,1,2017,2,5,2017,Shopping,Pillow,SN,Tempur-Pedic,512.74,24511,231,0,0.0
2017-01-15,1,2017,2,6,2017,Branded Search,Mattress,SN,Tempur-Pedic,19565.079999999998,70024,5413,0,0.0
2017-01-15,1,2017,2,6,2017,Branded Search,Other,SN,Tempur-Pedic,1846.3900000000003,29729,817,0,0.0
2017-01-15,1,2017,2,6,2017,Branded Search,Pillow,SN,Tempur-Pedic,713.19,9841,226,0,0.0
2017-01-15,1,2017,2,6,2017,Competitor Search,Mattress,SN,Tempur-Pedic,421.35999999999996,3808,41,0,0.0
2017-01-15,1,2017,2,6,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,691.5100000000002,255698,522,0,0.0
2017-01-15,1,2017,2,6,2017,Display Remarketing,Other,DN,Tempur-Pedic,186.04000000000002,58624,139,0,0.0
2017-01-15,1,2017,2,6,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,174.60000000000002,96343,108,0,0.0
2017-01-15,1,2017,2,6,2017,Shopping,Mattress,SN,Tempur-Pedic,567.2499999999999,17623,163,0,0.0
2017-01-15,1,2017,2,6,2017,Shopping,Other,SN,Tempur-Pedic,352.18,7352,110,0,0.0
2017-01-15,1,2017,2,6,2017,Shopping,Pillow,SN,Tempur-Pedic,513.72,18238,186,0,0.0
2017-01-16,1,2017,2,7,2017,Branded Search,Mattress,SN,Tempur-Pedic,19253.149999999987,71450,5364,0,0.0
2017-01-16,1,2017,2,7,2017,Branded Search,Other,SN,Tempur-Pedic,1950.100000000001,30177,781,0,0.0
2017-01-16,1,2017,2,7,2017,Branded Search,Pillow,SN,Tempur-Pedic,712.25,8801,205,0,0.0
2017-01-16,1,2017,2,7,2017,Competitor Search,Mattress,SN,Tempur-Pedic,405.16999999999996,5602,43,0,0.0
2017-01-16,1,2017,2,7,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,669.4599999999999,274331,480,0,0.0
