hit_date,hit_isoweek,hit_month,hit_quarter,hit_year,hit_isoyear,hit_brandname,hit_parentcompany,hit_brandtype,hit_brandsubtype,hit_value
2017-11-19,46,11,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,152263.0
2018-04-29,17,4,2,2018,2018,serta,ssb,manufacturer,traditional,69339.0
2018-01-07,1,1,1,2018,2018,cocoon,tsi,manufacturer,disruptor,14943.0
2018-04-29,17,4,2,2018,2018,simmons/beautyrest,ssb,manufacturer,traditional,25202.0
2018-04-29,17,4,2,2018,2018,sealy,tsi,manufacturer,traditional,23600.0
2018-04-29,17,4,2,2018,2018,stearns & foster,tsi,manufacturer,traditional,8964.0
2018-05-06,18,5,2,2018,2018,sleep number,select comfort,manufacturer,traditional,350948.0
2017-11-19,46,11,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2017-11-26,47,11,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,182668.0
2018-01-14,2,1,1,2018,2018,cocoon,tsi,manufacturer,disruptor,10179.0
2018-05-27,21,5,2,2018,2018,sleep number,select comfort,manufacturer,traditional,487929.0
2018-05-27,21,5,2,2018,2018,serta,ssb,manufacturer,traditional,101948.0
2018-05-27,21,5,2,2018,2018,tempur-pedic,tsi,manufacturer,traditional,194454.0
2018-05-27,21,5,2,2018,2018,simmons/beautyrest,ssb,manufacturer,traditional,77094.0
2018-05-27,21,5,2,2018,2018,sealy,tsi,manufacturer,traditional,32450.0
2018-05-27,21,5,2,2018,2018,stearns & foster,tsi,manufacturer,traditional,12964.0
2017-11-26,47,11,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2017-12-03,48,12,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,145576.0
2018-01-21,3,1,1,2018,2018,cocoon,tsi,manufacturer,disruptor,14432.0
2017-07-30,30,7,3,2017,2017,casper,casper,manufacturer,disruptor,349247.0
2017-11-05,44,11,4,2017,2017,Sleep Eve,Sleep Eve,manufacturer,disruptor,2765.0
2017-11-05,44,11,4,2017,2017,Eve Mattress,Sleep Eve,manufacturer,disruptor,2765.0
2018-04-22,16,4,2,2018,2018,Nest Bedding,Nest Bedding,manufacturer,disruptor,38617.0
2018-04-22,16,4,2,2018,2018,Zen Haven,Saatva,manufacturer,disruptor,28212.0
2018-04-22,16,4,2,2018,2018,Bed In a Box,Bed In a Box,manufacturer,disruptor,13556.0
2018-04-22,16,4,2,2018,2018,cocoon,tsi,manufacturer,disruptor,11524.0
2018-04-22,16,4,2,2018,2018,Wink Beds,Wink Beds,manufacturer,disruptor,10800.0
